Date,Open,High,Low,Close,Adj Close,Volume
1.60946E+12,28921.5,29026,28703.5,28990,28990,917.494
1.60946E+12,28990,29505.5,28956.5,29411,29411,1927.83
1.60947E+12,29411,29462,29150,29218,29218,931.537
1.60947E+12,29218,29358.5,29171.5,29303,29303,440.535
1.60947E+12,29303,29397.5,29078,29229.5,29229.5,711.549
1.60948E+12,29229.5,29232,29120.5,29204.5,29204.5,313.622
1.60948E+12,29204.5,29276.5,29123,29175.5,29175.5,237.292
1.60948E+12,29175.5,29200,28847,29097.5,29097.5,652.849
1.60949E+12,29097.5,29186,28903,29045,29045,479.384
1.60949E+12,29045,29312,29021.5,29243.5,29243.5,539.991
1.6095E+12,29243.5,29383.5,29219,29270.5,29270.5,555.235
1.6095E+12,29270.5,29453.5,29270.5,29343.5,29343.5,402.753
1.6095E+12,29343.5,29673.5,29199,29276,29276,1495.5
1.60951E+12,29276,29502,29264.5,29494.5,29494.5,456.379
1.60951E+12,29494.5,29567.5,29311,29360,29360,452.269
1.60951E+12,29360,29407.5,29070,29226,29226,820.595
1.60952E+12,29226,29374,29171.5,29325,29325,640.163
1.60952E+12,29325,29353,28962,29087.5,29087.5,1217.397
1.60952E+12,29087.5,29273,28654,29074.5,29074.5,1989.03
1.60953E+12,29074.5,29125,28968,29038.5,29038.5,909.486
1.60953E+12,29038.5,29288,28888.5,29230,29230,866.992
1.60953E+12,29230,29292,29169.5,29180,29180,628.187
1.60954E+12,29180,29329,29129,29262.5,29262.5,924.458
1.60954E+12,29262.5,29330.5,29241,29325,29325,723.885
1.60955E+12,29325,29333,28967.5,29196.5,29196.5,927.032
1.60955E+12,29196.5,29410,29125.5,29384,29384,669.985
1.60955E+12,29384,29468,29332,29332,29332,644.619
1.60956E+12,29332,29379,29279.5,29357.5,29357.5,351.467
1.60956E+12,29357.5,29389.5,29244,29343,29343,671.057
1.60956E+12,29343,29615.5,29343,29615.5,29615.5,1125.074
1.60957E+12,29615.5,29789,29495,29734.5,29734.5,1226.608
1.60957E+12,29734.5,29849,29663.5,29777,29777,857.722
1.60957E+12,29777,29877,29677.5,29866.5,29866.5,931.603
1.60958E+12,29866.5,29930,29607.5,29647,29647,1008.201
1.60958E+12,29647,29841.5,29510,29701.5,29701.5,812.922
1.60959E+12,29701.5,29800,29662.5,29782.5,29782.5,259.279
1.60959E+12,29782.5,30934,29771,30644.5,30644.5,5091.224
1.60959E+12,30644.5,31610,30572.5,31610,31610,4226.395
1.6096E+12,31610,31630,31144.5,31345,31345,1944.077
1.6096E+12,31345,31850,31284,31729,31729,1533.609
1.6096E+12,31729,33104,31728.5,32554.5,32554.5,6423.596
1.60961E+12,32554.5,32987.5,32458.5,32912.5,32912.5,1293.036
1.60961E+12,32912.5,33450,32513,33080.5,33080.5,1767.025
1.60961E+12,33080.5,33315,32776,33105,33105,1207.224
1.60962E+12,33105,33141.5,30834,30906,30906,5121.414
1.60962E+12,30906,31963.5,30610,31736,31736,6109.979
1.60962E+12,31736,32330.5,31500,32207.5,32207.5,1863.392
1.60963E+12,32207.5,32271,31689.5,32230,32230,1412.163
1.60963E+12,32230,32537,32016.5,32491.5,32491.5,1022.165
1.60964E+12,32491.5,32819,32279,32620.5,32620.5,965.684
1.60964E+12,32620.5,32935,32612,32777,32777,1067.178
1.60964E+12,32777,32788.5,32501,32638.5,32638.5,839.089
1.60965E+12,32638.5,33320,32501,33266,33266,999.043
1.60965E+12,33266,34223,33180,33803.5,33803.5,3330.05
1.60965E+12,33803.5,34160,33722.5,34020,34020,1059.862
1.60966E+12,34020,34820,33821.5,34494.5,34494.5,2555.95
1.60966E+12,34494.5,34720.5,33839.5,34429.5,34429.5,1570.593
1.60966E+12,34429.5,34636,33893,34255.5,34255.5,1461.107
1.60967E+12,34255.5,34411,33545.5,33940.5,33940.5,2386.101
1.60967E+12,33940.5,34500.5,33852,34478.5,34478.5,1069.243
1.60968E+12,34478.5,34650,33970.5,34149,34149,1638.536
1.60968E+12,34149,34420,33856.5,33923.5,33923.5,1869.316
1.60968E+12,33923.5,34172.5,33535,33884.5,33884.5,2531.488
1.60969E+12,33884.5,33937,32806,33523,33523,4415.712
1.60969E+12,33523,33810,32660,32732,32732,3548.242
1.60969E+12,32732,33265.5,32508,32946.5,32946.5,3458.102
1.6097E+12,32946.5,33067,32391,32833,32833,1897.86
1.6097E+12,32833,32988,32522,32828.5,32828.5,988.493
1.6097E+12,32828.5,33863,32790,33788,33788,2506.341
1.60971E+12,33788,33915,33566,33615,33615,565.612
1.60971E+12,33615,33689,33004,33173.5,33173.5,1965.855
1.60971E+12,33173.5,33604,32650,32963,32963,2321.555
1.60972E+12,32963,33064,32408,32825,32825,1482.627
1.60972E+12,32825,33266,32589.5,33154.5,33154.5,904.116
1.60973E+12,33154.5,33558,32969,33453,33453,689.366
1.60973E+12,33453,33537,33213.5,33537,33537,565.164
1.60973E+12,33537,33616.5,33260,33297.5,33297.5,839.819
1.60974E+12,33297.5,33375.5,32920,32920.5,32920.5,801.168
1.60974E+12,32920.5,33481.5,32920.5,33260,33260,855.233
1.60974E+12,33260,33280,31772.5,32226.5,32226.5,4256.863
1.60975E+12,32226.5,32655.5,31555,32130.5,32130.5,2092.789
1.60975E+12,32130.5,32224,30450,31119,31119,4645.721
1.60975E+12,31119,31286.5,27923,30229,30229,13197.192
1.60976E+12,30229,30827.5,29400,30675,30675,2752.574
1.60976E+12,30675,31378,30409.5,31171,31171,2089.636
1.60977E+12,31171,31379,30594,31379,31379,1906.702
1.60977E+12,31379,32094,31379,32062,32062,2178.529
1.60977E+12,32062,32139.5,31533,31720,31720,1513.737
1.60978E+12,31720,31886,30768.5,31305,31305,4455.932
1.60978E+12,31305,31532.5,30634,31023,31023,3121.335
1.60978E+12,31023,31481,31016.5,31176.5,31176.5,1928.876
